Synset('azolla.n.01')	Azolla
Synset('b.n.06')	B
Synset('babassu.n.01')	babassu
Synset('babbler.n.02')	babbler
Synset('babirusa.n.01')	babirusa
Synset('baby_boomer.n.01')	baby_boomer
Synset('baby's_tears.n.01')	baby's_tears
Synset('babyrousa.n.01')	Babyrousa
Synset('baccalaureate.n.01')	baccalaureate
Synset('bacillus.n.01')	bacillus
Synset('back.n.01')	back
Synset('back.n.08')	back
Synset('back.n.09')	back
Synset('backbone.n.05')	backbone
Synset('backing.n.02')	backing
Synset('backspace_key.n.01')	backspace_key
Synset('backstroke.n.01')	backstroke
Synset('bacon.n.01')	bacon
Synset('bag.n.04')	bag
Synset('baggage.n.01')	baggage
Synset('bagpipe.n.01')	bagpipe
Synset('bahrain_dinar.n.01')	Bahrain_dinar
Synset('bahraini.n.01')	Bahraini
Synset('baht.n.01')	baht
Synset('baiomys.n.01')	Baiomys
Synset('bait.n.02')	bait
Synset('baiza.n.01')	baiza
Synset('baker's_yeast.n.01')	baker's_yeast
Synset('bakery.n.01')	bakery
Synset('balaena.n.01')	Balaena
Synset('balance.n.02')	balance
Synset('balanidae.n.01')	Balanidae
Synset('balata.n.01')	balata
Synset('balata.n.02')	balata
Synset('balboa.n.01')	balboa
Synset('balcony.n.01')	balcony
Synset('balcony.n.02')	balcony
Synset('bald_cypress.n.02')	bald_cypress
Synset('balistes.n.01')	Balistes
Synset('balk.n.01')	balk
Synset('balkan.n.01')	Balkan
Synset('ball_field.n.01')	ball_field
Synset('ball-and-socket_joint.n.02')	ball-and-socket_joint
Synset('ball.n.04')	ball
Synset('ball.n.10')	ball
Synset('ballet.n.01')	ballet
Synset('ballistic_missile_defense_organization.n.01')	Ballistic_Missile_Defense_Organization
Synset('ballistocardiograph.n.01')	ballistocardiograph
Synset('balloon.n.01')	balloon
Synset('ballota.n.01')	Ballota
Synset('ballpark.n.01')	ballpark
Synset('balm_of_gilead.n.03')	balm_of_gilead
Synset('balsa.n.01')	balsa
Synset('balsa.n.02')	balsa
Synset('balsam.n.01')	balsam
Synset('balsam.n.02')	balsam
Synset('bamboo.n.01')	bamboo
Synset('bamboo.n.02')	bamboo
Synset('bambuseae.n.01')	Bambuseae
Synset('ban.n.03')	ban
Synset('banana.n.01')	banana
Synset('banana.n.02')	banana
Synset('band-tailed_pigeon.n.01')	band-tailed_pigeon
Synset('band.n.02')	band
Synset('bandage.n.01')	bandage
Synset('banded_purple.n.01')	banded_purple
